,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
0,Rikitea,3,PF,1582076849,78,-23.12,-134.97,299.32,6.56
1,Busselton,0,AU,1582076764,26,-33.65,115.33,301.48,1.93
2,Saint-Philippe,1,RE,1582076850,78,-21.36,55.77,296.15,3.1
3,Port Alfred,23,ZA,1582076850,96,-33.59,26.89,291.48,9.08
4,Hilo,1,US,1582076851,54,19.73,-155.09,300.15,4.6
5,Chui,22,UY,1582076851,79,-33.7,-53.46,292.85,3.91
6,Puerto Ayora,3,EC,1582076852,84,-0.74,-90.35,298.48,3.79
7,New Norfolk,75,AU,1582076852,47,-42.78,147.06,291.48,9.8
8,Zanzibar,20,TZ,1582076852,88,-6.16,39.2,300.15,2.8
9,Bahia Honda,0,CU,1582076853,86,22.9,-83.16,297.41,4.86
10,Ilulissat,100,GL,1582076853,64,69.22,-51.1,255.15,3.1
11,Rawlins,1,US,1582076853,66,41.79,-107.24,263.15,2.6
12,Salalah,20,OM,1582076686,77,17.02,54.09,294.15,1.5
13,Saint-Joseph,0,RE,1582076854,78,-21.37,55.62,296.15,3.1
14,Nikolskoye,40,RU,1582076854,80,59.7,30.79,277.15,5.0
15,Leningradskiy,45,RU,1582076855,94,69.38,178.42,244.86,7.71
16,Punta Arenas,75,CL,1582076676,75,-53.15,-70.92,281.15,17.0
17,Provideniya,75,RU,1582076856,72,64.38,-173.3,261.15,7.0
18,Maroantsetra,14,MG,1582076857,97,-15.43,49.73,293.13,1.25
19,Kapaa,90,US,1582076857,83,22.08,-159.32,300.15,11.8
20,Marica,98,BR,1582076858,74,-22.92,-42.82,303.15,1.0
21,Faya,0,SA,1582076858,44,18.39,42.45,289.15,2.6
22,Umm Lajj,0,SA,1582076859,56,25.02,37.27,287.62,1.01
23,Lodja,98,CD,1582076859,98,-3.48,23.43,293.22,0.23
24,Naze,75,JP,1582076860,55,28.37,129.48,289.15,2.6
25,Valparaiso,0,CL,1582076860,54,-33.04,-71.63,288.15,2.6
26,Barrow,90,US,1582076860,77,71.29,-156.79,254.15,10.8
27,Muisne,47,EC,1582076861,93,0.6,-80.03,298.44,1.7
28,Hasaki,40,JP,1582076861,48,35.73,140.83,283.15,1.5
29,Saint-Louis,29,SN,1582076862,10,16.33,-15.0,298.94,4.81
30,Ancud,75,CL,1582076862,87,-41.87,-73.82,284.15,3.1
31,Morondava,100,MG,1582076862,93,-20.28,44.28,296.99,1.1
32,Avarua,100,CK,1582076797,83,-21.21,-159.78,301.15,6.7
33,Kaitangata,90,NZ,1582076863,53,-46.28,169.85,294.82,3.13
34,Yellowknife,75,CA,1582076594,69,62.46,-114.35,250.37,4.1
35,Ushuaia,75,AR,1582076611,87,-54.8,-68.3,282.15,13.4
36,Port Hedland,1,AU,1582076864,52,-20.32,118.57,305.15,5.1
37,Fukuecho,75,JP,1582076865,66,32.69,128.84,283.15,3.6
38,Sampit,65,ID,1582076865,54,-2.53,112.95,304.73,1.61
39,Vaini,40,TO,1582076866,78,-21.2,-175.2,300.15,4.6
40,Xining,72,CN,1582076866,25,36.62,101.77,270.49,2.05
41,Arraial do Cabo,76,BR,1582076867,83,-22.97,-42.03,299.15,5.7
42,Coyhaique,0,CL,1582076867,46,-45.58,-72.07,285.15,3.6
43,Hofn,100,IS,1582076867,68,64.25,-15.21,276.8,5.51
44,Phibun Mangsahan,7,TH,1582076868,77,15.24,105.23,294.15,3.1
45,Hermanus,0,ZA,1582076868,88,-34.42,19.23,293.15,4.47
46,Hobart,75,AU,1582076868,47,-42.88,147.33,291.48,9.8
47,Karratha,8,AU,1582076782,65,-20.74,116.85,304.55,6.33
48,Kabanjahe,40,ID,1582076869,100,3.1,98.49,297.15,1.5
49,Grand Gaube,75,MU,1582076869,78,-20.01,57.66,298.15,3.6
50,Hualmay,100,PE,1582076870,77,-11.1,-77.61,295.66,1.94
51,Butaritari,0,KI,1582076870,77,3.07,172.79,301.92,8.27
52,Bredasdorp,86,ZA,1582076871,82,-34.53,20.04,293.15,6.2
53,Half Moon Bay,20,US,1582076871,44,37.46,-122.43,292.15,8.2
54,Mataura,83,NZ,1582076872,70,-46.19,168.86,289.26,8.05
55,Henties Bay,100,NA,1582076872,89,-22.12,14.28,290.93,0.89
56,Owo,89,NG,1582076872,97,7.2,5.59,296.59,1.7
57,Batagay,55,RU,1582076872,87,67.63,134.63,249.72,0.98
58,Mar del Plata,0,AR,1582076737,88,-38.0,-57.56,290.15,1.5
59,Bluff,0,NZ,1582076789,70,-46.6,168.33,289.26,8.05
60,Banda Aceh,0,ID,1582076839,64,5.56,95.32,301.79,2.96
61,Mahebourg,75,MU,1582076874,78,-20.41,57.7,298.15,3.6
